NAME,ENUMERATION,UUID,FORCE,SUPERIOR OR OVERLAY,POINTS LAT,LONG,ALT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Window1,16:0:0:1:0:0:0,VRF_UUID:005b9ba2-d030-4ef8-b692-1c4586724268,1,,29.9994918,33.0004458,10.015047,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 73,16:0:0:1:0:0:0,VRF_UUID:017e7a5b-718a-4b1e-bb5d-5487dc5e0406,1,,30.0000133,33.0005768,20.0106408,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 60,16:0:0:1:0:0:0,VRF_UUID:06315688-2679-48f9-81c3-27991a11f33e,1,,29.9995147,33.0003452,20.0037185,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 56,16:0:0:1:0:0:0,VRF_UUID:07f80310-b2d3-4ff8-ad17-5a64d6750539,1,,29.9999138,33.0003452,19.9562061,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 88,16:0:0:1:0:0:0,VRF_UUID:07fcd08a-017a-4980-89a1-c8ae59ffd6a2,1,,29.9994153,33.0006933,19.8113736,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 74,16:0:0:1:0:0:0,VRF_UUID:080a271e-e339-4bc9-9423-fa4c44119874,1,,29.9999151,33.0005768,26.9305405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 79,16:0:0:1:0:0:0,VRF_UUID:089f32a0-0f20-4533-89e0-f702ece2febd,1,,29.9994166,33.0005768,19.8113717,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 75,16:0:0:1:0:0:0,VRF_UUID:0b000737-4fd0-4db3-8250-c9a0beb290d4,1,,29.9998157,33.0005768,20.0046878,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 106,16:0:0:1:0:0:0,VRF_UUID:0d67a156-39f5-466f-83e6-77eaebf6caf8,1,,29.999414,33.0009218,27.7568848,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 110,16:0:0:1:0:0:0,VRF_UUID:0da3779a-6085-4fe3-97ee-efd1b96d29c4,1,,29.9999151,33.0010383,26.3893628,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 78,16:0:0:1:0:0:0,VRF_UUID:10c11605-2b27-4259-a062-59c8e37a0ea6,1,,29.9995161,33.0005768,19.6907577,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 99,16:0:0:1:0:0:0,VRF_UUID:13e0aaab-879e-4e59-aecb-0eab7e2317be,1,,29.9992142,33.0008068,31.2868418,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 89,16:0:0:1:0:0:0,VRF_UUID:1582ccf8-99bf-4819-a025-dd19795776ed,1,,29.9993149,33.0006948,23.755322,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 46,16:0:0:1:0:0:0,VRF_UUID:16f41960-007e-4854-a525-e79a40c8adc2,1,,30.0000133,33.0002302,20.2520133,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 21,16:0:0:1:0:0:0,VRF_UUID:170bce08-9a6a-4174-b2bb-d1bad11498be,1,,29.9998157,32.9998836,19.1565387,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 132,16:0:0:1:0:0:0,VRF_UUID:1983b3c5-3511-4aa9-a6f5-7e02ecefb921,1,,29.9995134,33.0012684,34.136219,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 19,16:0:0:1:0:0:0,VRF_UUID:1aadab89-492e-4fc9-bd08-b879cfd5b646,1,,30.0000132,32.9998836,23.3185291,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 8,16:0:0:1:0:0:0,VRF_UUID:1aca997f-336f-4feb-931d-3af92449d7c3,1,,29.9993145,32.9996559,32.6988141,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 80,16:0:0:1:0:0:0,VRF_UUID:1b5c30c7-625a-4a61-ace4-6925b9c56fc6,1,,29.9993163,33.0005783,19.9676725,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 109,16:0:0:1:0:0:0,VRF_UUID:1b8dd79c-3e69-41e0-9227-be4305cb2ca0,1,,30.0000132,33.0010383,30.3999746,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scanner1,16:0:0:1:0:0:0,VRF_UUID:1d0431fe-598f-4ef7-ab98-8f29ece68e58,1,,29.9994623,33.0012379,32.9879463,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 96,16:0:0:1:0:0:0,VRF_UUID:1f847cf2-cec8-4e59-9696-0e0223e8dcdd,1,,29.9995121,33.0008068,19.807417,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 108,16:0:0:1:0:0:0,VRF_UUID:23be5663-0277-4591-9272-7bec1bcac0d4,1,,29.9992155,33.0009218,38.7722085,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 121,16:0:0:1:0:0:0,VRF_UUID:26f38291-a6b0-47f6-8df5-fbcf0b1cfb4a,1,,29.9997123,33.0011518,35.8094986,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 116,16:0:0:1:0:0:0,VRF_UUID:2785f89d-0aed-493c-81a8-4fb5ee9dba96,1,,29.9993163,33.0010399,34.3758842,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 126,16:0:0:1:0:0:0,VRF_UUID:27f58ddf-901d-4a94-8c13-40be5bd6aa37,1,,29.9992155,33.0011518,43.0585375,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 34,16:0:0:1:0:0:0,VRF_UUID:28018e1f-3e3a-4747-b6c9-b105e803142c,1,,29.999418,32.9999987,19.916598,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 84,16:0:0:1:0:0:0,VRF_UUID:2a0ccfc4-07bb-4328-943b-2b963a268119,1,,29.9998144,33.0006933,20.6549079,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 52,16:0:0:1:0:0:0,VRF_UUID:2a5201d4-0d90-4806-a3b8-b92e96b345c8,1,,29.9994166,33.0002302,19.7072463,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 97,16:0:0:1:0:0:0,VRF_UUID:2a773a2d-d619-43f1-aac2-401e159bdf8e,1,,29.9994127,33.0008068,19.618038,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 67,16:0:0:1:0:0:0,VRF_UUID:2ac3fd08-8ddc-4c1f-9a6f-2662e8b32499,1,,29.9997136,33.0004602,20.3933593,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 36,16:0:0:1:0:0:0,VRF_UUID:2ae5e88d-a9af-43d0-8add-b6777457e3b1,1,,29.9992195,32.9999987,28.1471965,,,,,,,,,,,,,,,,,,,,,,,,,,,
House1,16:0:0:1:0:0:0,VRF_UUID:2b150815-cbd8-4408-b143-4fd3b4faba16,1,,29.9994717,33.0004931,3.47207769,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 95,16:0:0:1:0:0:0,VRF_UUID:2b2ff8e7-c3b3-48f0-b668-fe0849d0d6d4,1,,29.9996115,33.0008068,19.6320883,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 114,16:0:0:1:0:0:0,VRF_UUID:2e3cfad2-655e-40b7-b143-bc46f799d574,1,,29.9995161,33.0010383,29.6220601,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 76,16:0:0:1:0:0:0,VRF_UUID:2e64d40e-604e-4398-927a-d619d04bd8d0,1,,29.999715,33.0005768,20.2774059,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 83,16:0:0:1:0:0:0,VRF_UUID:2eaf057a-b37f-4954-9fa4-88506301060f,1,,29.9999138,33.0006933,21.0651592,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scanner3,16:0:0:1:0:0:0,VRF_UUID:2f33a387-0eb3-486c-8daa-71c2bf9e86c2,1,,30.0001362,33.0003552,27.6133062,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 22,16:0:0:1:0:0:0,VRF_UUID:2f6c3f89-8f5a-4b51-9ecb-5f67b7a2727a,1,,29.9997149,32.9998836,18.4542007,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 16,16:0:0:1:0:0:0,VRF_UUID:31f71379-01ce-4aaf-8ec1-ea7e011ecfa7,1,,29.9994166,32.9997686,19.2368078,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 28,16:0:0:1:0:0:0,VRF_UUID:3248aea7-bced-44de-ad73-40e81cb9a90a,1,,30.0000145,32.9999987,21.9175119,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 45,16:0:0:1:0:0:0,VRF_UUID:3423032d-1430-4527-81d6-8964131d8b6b,1,,29.9992182,33.0001152,20.3434544,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 1,16:0:0:1:0:0:0,VRF_UUID:356faf8e-9d96-4e4a-b5f9-a9c13fcebe8d,1,,30.0000115,32.9996544,39.2560402,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 50,16:0:0:1:0:0:0,VRF_UUID:3725ab32-8865-4e32-b7bb-d001c4a081de,1,,29.9996155,33.0002302,19.6180129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 30,16:0:0:1:0:0:0,VRF_UUID:3850b4c6-49bb-4d7a-bee1-53c90ee035b8,1,,29.999817,32.9999987,24.7656826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 33,16:0:0:1:0:0:0,VRF_UUID:3a11a124-4a1f-46d4-9594-53ffa29fe3b3,1,,29.9995174,32.9999987,19.9839488,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 31,16:0:0:1:0:0:0,VRF_UUID:3c7e4718-b59a-4bc9-83a5-7bfca7d4c01e,1,,29.9997163,32.9999987,20.282416,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 35,16:0:0:1:0:0:0,VRF_UUID:3d4e5098-3fac-4b74-a6c6-900fefe8dfa0,1,,29.9993176,33.0000002,26.6621501,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 117,16:0:0:1:0:0:0,VRF_UUID:439d7cbe-f5e0-40ba-8dab-2b32b5764484,1,,29.9992182,33.0010383,42.3967801,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 69,16:0:0:1:0:0:0,VRF_UUID:44cfc1fe-dda7-4ea8-abac-2bcedf05c939,1,,29.9995148,33.0004602,32.1289574,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 65,16:0:0:1:0:0:0,VRF_UUID:49ba554e-3536-44fd-bcd6-f8aa9a136e60,1,,29.9999138,33.0004602,23.5947736,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 100,16:0:0:1:0:0:0,VRF_UUID:4b610103-4448-4f11-b468-d8f9dc2134ae,1,,30.0000105,33.0009218,30.5333631,,,,,,,,,,,,,,,,,,,,,,,,,,,
Path2,17:0:0:2:0:0:0,VRF_UUID:4ddb46d4-c600-4e3d-b9ec-1852ebd76750,1,Tactical Graphics,29.9993825,33.0002122,-0.390682418,29.9995118,33.0002082,-0.390672229,29.9995114,33.0002533,-0.390669329,29.9995096,33.0002783,-0.00499354924,,,,,,,,,,,,,,,,,,
Waypoint 49,16:0:0:1:0:0:0,VRF_UUID:4f04332b-bfae-4611-b27c-280e90de7357,1,,29.999715,33.0002302,19.6180494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 127,16:0:0:1:0:0:0,VRF_UUID:4f7955f8-9992-4b1f-962f-3f68b83d6f26,1,,30.0000106,33.0012684,37.6261776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 64,16:0:0:1:0:0:0,VRF_UUID:5329d1e6-c73f-4845-aa26-024634c7eda5,1,,30.0000119,33.0004602,20.0051085,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 27,16:0:0:1:0:0:0,VRF_UUID:58f2ce7e-58f1-4f62-a9ab-095d02e429a7,1,,29.9992182,32.9998837,22.1201389,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sucidie3,16:0:0:1:0:0:0,VRF_UUID:5a816d69-fd6a-4210-84ff-1564d4c6e31c,1,,29.999874,33.0005058,19.6143173,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 135,16:0:0:1:0:0:0,VRF_UUID:5aef51e2-4a3b-4578-addc-3374295d11cd,1,,29.9992155,33.0012683,45.2229681,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 14,16:0:0:1:0:0:0,VRF_UUID:5bb32ba8-5365-4ddc-b936-b0883b4a4808,1,,29.9996155,32.9997686,24.9694846,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 112,16:0:0:1:0:0:0,VRF_UUID:5e3518cb-8547-465d-af2f-95dd55ac0b47,1,,29.9997149,33.0010383,31.2989837,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 57,16:0:0:1:0:0:0,VRF_UUID:5e648698-522d-4ee8-9bda-522a1d3420fc,1,,29.9998144,33.0003452,20.004688,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 43,16:0:0:1:0:0:0,VRF_UUID:5ffce15b-be2d-4450-93dd-ab17029a7b4a,1,,29.9994166,33.0001152,31.4143377,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 29,16:0:0:1:0:0:0,VRF_UUID:67802a1e-f3bc-4a1d-addf-0dfc75d8f976,1,,29.9999165,32.9999987,25.1069652,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 131,16:0:0:1:0:0:0,VRF_UUID:68db98ed-6388-4911-a8d4-a957cfba8233,1,,29.9996128,33.0012684,41.0013359,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellipse 1,19:0:0:1:0:0:0,VRF_UUID:69f6d8de-8dc1-4340-a968-fb842cdf39ed,1,Tactical Graphics,29.9996752,33.0002145,-0.193326775,29.9999199,33.0002145,-0.193337071,29.9996752,33.0007159,-0.193364116,,,,,,,,,,,,,,,,,,,,,
Waypoint 23,16:0:0:1:0:0:0,VRF_UUID:6af82a0b-50a1-4260-a53c-47105c286ed2,1,,29.9996155,32.9998836,20.8239453,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 25,16:0:0:1:0:0:0,VRF_UUID:6b537162-be90-4c51-a191-3a51218589dc,1,,29.9994166,32.9998836,20.0288083,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 24,16:0:0:1:0:0:0,VRF_UUID:6cb44e07-f052-4b58-85f8-bedd6a9e1a66,1,,29.9995161,32.9998836,52.0574647,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 11,16:0:0:1:0:0:0,VRF_UUID:6d709a43-a12c-4236-98fb-100b7e29179e,1,,29.9999151,32.9997686,28.5978913,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 104,16:0:0:1:0:0:0,VRF_UUID:6e01eec9-30a6-4ade-a64c-9e98bb27ac5f,1,,29.9996129,33.0009218,26.1730452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 68,16:0:0:1:0:0:0,VRF_UUID:6e423d62-306a-4bd4-83ae-9a550cc7f1e5,1,,29.9996142,33.0004602,20.0036959,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 26,16:0:0:1:0:0:0,VRF_UUID:6e4f1cc3-0963-4e3c-a598-5ef88cc37e2f,1,,29.9993163,32.9998852,19.974412,,,,,,,,,,,,,,,,,,,,,,,,,,,
SensorDrone,1:2:45:50:127:1:0,VRF_UUID:72e4f954-c95e-473a-83a1-18e22e3ded0e,1,,29.9967071,32.9994369,2.16229518,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 6,16:0:0:1:0:0:0,VRF_UUID:745e7499-ad17-4132-a328-b69434de0a43,1,,29.9995144,32.9996544,35.784925,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 125,16:0:0:1:0:0:0,VRF_UUID:76d32ed4-4062-4a75-b0ba-a9e6b9549397,1,,29.9993136,33.0011533,46.7406829,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint 81,16:0:0:1:0:0:0,VRF_UUID:7a7b0259-d514-4a87-b210-cf7b091313d7,1,,29.9992182,33.0005768,32.1287912,,,,,,,,,,,,,,,,,,,,,,,,,,,
